Date,Open,High,Low,Close,Adj Close,Volume
2013-10-10,38500,38600,37600,37700,37700,933878
2013-10-11,38250,39950,38100,39950,39950,3548629
2013-10-14,39700,40200,39650,39700,39700,959487
2013-10-15,39500,40200,39500,40100,40100,996877
2013-10-16,40100,41950,40000,41650,41650,2547572
2013-10-17,42250,43150,41950,42900,42900,3026695
2013-10-18,42500,43950,42500,43950,43950,1897318
2013-10-21,43950,44250,42900,43300,43300,1487109
2013-10-22,43000,43250,42650,42900,42900,1671519
2013-10-23,42600,42900,41300,41400,41400,2067209
2013-10-24,41700,42250,41250,42200,42200,1196531
2013-10-25,42000,42200,41300,42000,42000,1085371
2013-10-28,41450,41850,40800,41600,41600,1451393
2013-10-29,41200,41800,40650,41500,41500,1027743
2013-10-30,41750,42650,41200,42400,42400,1133059
2013-10-31,41950,42300,41050,42000,42000,1017542
2013-11-01,41800,41900,40800,41150,41150,1086062
2013-11-04,41150,41150,39700,40250,40250,1347629
2013-11-05,39900,40500,39700,39950,39950,674053
2013-11-06,40000,40000,39300,39950,39950,707629
2013-11-07,40200,40200,39350,39700,39700,666786
2013-11-08,40000,40000,38950,39450,39450,1000788
2013-11-11,39450,39950,39150,39150,39150,544256
2013-11-12,39700,39950,39150,39450,39450,709770
2013-11-13,39550,39850,38000,38750,38750,1247962
2013-11-14,38750,39000,38000,38400,38400,1371091
2013-11-15,38900,40300,38750,39950,39950,1722783
2013-11-18,39650,40250,39150,40100,40100,941283
2013-11-19,39550,40900,39550,40300,40300,781672
2013-11-20,39950,40500,39700,40200,40200,875082
2013-11-21,39950,40050,39300,39850,39850,743656
2013-11-22,39900,40300,39700,39950,39950,555962
2013-11-25,39750,40550,39650,40100,40100,808387
2013-11-26,40000,40000,39000,39750,39750,793135
2013-11-27,39750,39750,39100,39450,39450,940986
2013-11-28,39500,39850,39200,39700,39700,709688
2013-11-29,39400,39800,39400,39700,39700,546711
2013-12-02,40300,41250,39900,40000,40000,657625
2013-12-03,39700,40050,39350,39900,39900,821596
2013-12-04,39900,39900,39300,39650,39650,540565
2013-12-05,39450,39700,38650,39400,39400,965177
2013-12-06,39450,39600,39000,39400,39400,399317
2013-12-09,40000,40350,39700,40250,40250,946354
2013-12-10,40550,40550,39950,40350,40350,697041
2013-12-11,39800,39900,39100,39350,39350,800896
2013-12-12,39150,39500,38800,39300,39300,812388
2013-12-13,38750,39350,38050,39350,39350,601201
2013-12-16,38800,39250,38500,38800,38800,580099
2013-12-17,38800,39250,38650,39250,39250,520319
2013-12-18,39350,40200,39200,39950,39950,1228831
2013-12-19,40400,40750,39750,39950,39950,905129
2013-12-20,39750,40900,39750,40500,40500,917694
2013-12-23,40950,41650,40750,41000,41000,1014772
2013-12-24,41300,41550,40400,40950,40950,1285275
2013-12-26,41200,41250,40700,41250,41250,1065573
2013-12-27,41000,41450,40450,41350,41350,819397
2013-12-30,41050,42450,41050,42250,42250,1339335
2014-01-02,42600,43150,41450,42100,42100,1123603
2014-01-03,41750,41850,40250,40700,40700,1032878
2014-01-06,40650,40900,39950,40250,40250,817289
2014-01-07,40050,40650,39850,40300,40300,621960
2014-01-08,40450,41400,40200,40750,40750,752629
2014-01-09,40900,41250,40400,40600,40600,848412
2014-01-10,40450,40650,39500,39600,39600,806108
2014-01-13,39800,40100,39650,39850,39850,527477
2014-01-14,39700,39950,39000,39300,39300,731067
2014-01-15,39500,40050,39400,40000,40000,704364
2014-01-16,40050,40250,39400,39500,39500,722335
2014-01-17,39750,39750,39000,39100,39100,590308
2014-01-20,38800,39050,38400,39050,39050,785306
2014-01-21,39050,39400,38800,39250,39250,1062137
2014-01-22,39250,39550,38200,38700,38700,1604220
2014-01-23,38450,38800,37750,37800,37800,1971872
2014-01-24,37600,38250,37250,37800,37800,2496616
2014-01-27,37200,37300,36400,36850,36850,2547082
2014-01-28,36900,36900,35900,35900,35900,2823625
2014-01-29,36050,37350,36050,37200,37200,2578858
2014-02-03,36200,36850,35750,36150,36150,1884828
2014-02-04,35550,36050,35350,36050,36050,1405339
2014-02-05,36450,36650,36100,36300,36300,1150997
2014-02-06,36350,36850,36350,36850,36850,780233
2014-02-07,37000,37100,36600,37100,37100,919777
2014-02-10,37100,37150,36000,36300,36300,1244572
2014-02-11,36100,36450,35800,36250,36250,1015417
2014-02-12,36450,37300,36350,36850,36850,1122339
2014-02-13,36800,37100,36200,36300,36300,724893
2014-02-14,36250,36900,36250,36450,36450,902107
2014-02-17,36950,38550,36700,38450,38450,2660233
2014-02-18,38300,38800,37700,38700,38700,1227189
2014-02-19,38350,38800,38000,38250,38250,777652
2014-02-20,37800,38050,37300,37300,37300,1227120
2014-02-21,37550,38650,37550,38600,38600,1244563
2014-02-24,38700,39200,38350,38900,38900,1132399
2014-02-25,39200,39650,39050,39200,39200,1204992
2014-02-26,38700,39900,38700,39900,39900,1449927
2014-02-27,39450,39850,38850,39500,39500,922639
2014-02-28,39100,40600,39000,39900,39900,1777610
2014-03-03,39350,39650,38950,39250,39250,1024499
2014-03-04,39200,39550,39000,39300,39300,420709
2014-03-05,39850,39850,39400,39550,39550,702944
2014-03-06,39650,40350,39300,40350,40350,1295085
2014-03-07,40100,40400,39050,39150,39150,1072687
2014-03-10,38850,38950,37850,38000,38000,1271043
2014-03-11,38300,38550,37750,38250,38250,967931
2014-03-12,38000,38000,36800,36850,36850,1946141
2014-03-13,37250,37450,36900,37000,37000,1503274
2014-03-14,36600,37200,36400,36800,36800,902750
2014-03-17,36650,37100,36500,36800,36800,988369
2014-03-18,37200,37250,36600,36700,36700,1203098
2014-03-19,37000,37300,36850,36850,36850,751904
2014-03-20,36750,36750,35850,36000,36000,1239723
2014-03-21,36200,36450,35900,36150,36150,1385701
2014-03-24,36150,36550,35850,36250,36250,1400057
2014-03-25,36150,36300,35850,36100,36100,1350767
2014-03-26,36500,37300,36400,37250,37250,1699849
2014-03-27,37250,37400,36950,37100,37100,800235
2014-03-28,37100,37550,36700,37300,37300,1127015
2014-03-31,37300,37500,36850,37250,37250,1162083
